GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OSCAL Java Library,gov.nist.secauto.oscal.lib.profile.resolver,ProfileResolver,293,865,27,40,63,234,29,42,5,32
OSCAL Java Library,gov.nist.secauto.oscal.lib.profile.resolver,ProfileResolver.StructuringDirective,0,34,0,0,0,4,0,1,0,1
OSCAL Java Library,gov.nist.secauto.oscal.lib.profile.resolver,ModifyPhaseUtils,4,87,2,10,0,29,3,12,1,8
OSCAL Java Library,gov.nist.secauto.oscal.lib.profile.resolver,ProfileResolutionEvaluationException,16,0,0,0,8,0,4,0,4,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.profile.resolver,ProfileResolver.DocumentEntityResolver,7,33,1,1,1,9,1,3,0,3
OSCAL Java Library,gov.nist.secauto.oscal.lib.profile.resolver,ProfileResolutionException,9,0,0,0,4,0,2,0,2,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.profile.resolver.alter,RemoveVisitor,334,0,60,0,57,0,52,0,22,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.profile.resolver.alter,AddVisitor.TargetType,14,126,5,5,1,23,4,7,1,5
OSCAL Java Library,gov.nist.secauto.oscal.lib.profile.resolver.alter,AddVisitor,179,412,40,54,31,91,39,42,6,27
OSCAL Java Library,gov.nist.secauto.oscal.lib.profile.resolver.alter,AddVisitor.Context,76,288,24,44,14,75,23,27,2,13
OSCAL Java Library,gov.nist.secauto.oscal.lib.profile.resolver.alter,RemoveVisitor.Context,291,0,41,0,70,0,33,0,11,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.profile.resolver.alter,RemoveVisitor.TargetType,152,0,10,0,25,0,11,0,6,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.profile.resolver.alter,AddVisitor.Position,2,82,1,3,0,11,1,3,0,2
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,SystemComponent,219,0,16,0,60,0,40,0,32,0
OSCAL Java Library,gov.nist.secauto.oscal.lib.model,FindingTarget.Status,31,0,0,0,12,0,8,0,8,0
